Ferrari;California;2016;GXZ693;Azul
Ferrari;Purosangue;2023;GUF512;Burdeo
Honda;Life;1971;WYS413;Negro
Mitsubishi;Lancer;2005;RCK325;Azul
Toyota;Corolla;2003;SXW755;Rojo
Honda;Jazz;2022;IDT868;Morado
Toyota;Hilux;2003;WSY235;Blanco
Mitsubishi;Carisma;2000;BLX234;Azul
Ferrari;F355;1995;YSU339;Rojo
Mitsubishi;Lancer Evolution;2000;RGI326;Amarillo
Toyota;Celica;2007;GRU891;Verde
Toyota;GT86;2017;OBD865;Amarillo
Toyota;Alpharad;2017;HIS289;Blanco
Ferrari;F430;2008;EZZ318;Negro
Toyota;GT86;2013;BYK966;Negro
Toyota;2000GT;1969;AKX858;Amarillo
Ferrari;Purosangue;2023;GRZ913;Rojo
Ferrari;275;1967;QKR418;Morado
